,number_of_rooms,number_of_bathrooms,sqft,days_on_market,initial_price,location_good,location_great,location_poor,neighborhood_alcatraz_ave,neighborhood_berkeley_hills,neighborhood_downtown,neighborhood_east_elmwood,neighborhood_frontage_rd,neighborhood_north_berkeley,neighborhood_northwest,neighborhood_south_side,neighborhood_thowsand_oaks,neighborhood_west_welmwood,neighborhood_westbrae,neighborhood_zaytuna_college,rental_price
34,1,1,314,23,1543,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1533.7420000000002
35,1,1,327,63,1201,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1097.714
36,0,1,487,13,1722,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1722.0
37,2,1,623,0,3211,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3211.0
38,0,1,328,13,2126,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2126.0
39,3,2,811,12,4580,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4580.0
40,1,1,670,3,2179,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2179.0
41,3,2,846,56,4124,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3827.072
42,2,1,867,6,3952,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3952.0
43,2,1,935,4,3477,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3477.0
44,3,2,882,29,4466,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4385.612
45,2,1,813,10,3819,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3819.0
46,1,1,578,14,1903,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1903.0
47,1,1,716,12,2102,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2102.0
48,2,1,911,5,3478,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3478.0
49,3,2,1004,11,4706,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4706.0
50,3,2,1232,6,5518,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5518.0
51,1,1,735,1,2181,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2181.0
52,3,2,916,36,4378,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4237.904
53,2,1,846,0,3434,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3434.0
54,1,1,701,11,2570,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2570.0
55,2,1,804,13,3227,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3227.0
56,3,2,935,10,5137,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5137.0
57,3,2,829,16,4508,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4508.0
58,2,1,576,64,2516,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2294.592
59,0,1,501,10,1825,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1825.0
60,1,1,361,16,1714,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1714.0
61,3,2,942,64,4201,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3831.312
62,1,1,408,6,1810,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1810.0
63,0,1,440,12,1751,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1751.0
64,3,2,881,0,4742,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4742.0
65,3,2,1140,10,4853,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4853.0
66,0,1,425,34,1449,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1408.4279999999999
67,2,1,835,12,3349,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3349.0
68,0,1,248,9,1524,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1524.0
69,2,1,864,15,3299,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3299.0
70,2,1,573,2,3143,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3143.0
71,3,2,1056,6,4849,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4849.0
72,0,1,403,40,1428,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1370.88
73,1,1,608,59,1477,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1361.7939999999999
74,0,1,185,56,1063,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,986.4639999999999
75,3,2,1097,56,4358,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4044.224
76,0,1,199,4,2096,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2096.0
77,0,1,430,7,2292,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2292.0
78,1,1,524,7,2475,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2475.0
79,0,1,116,50,998,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,938.12
80,2,1,895,0,3476,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3476.0
81,0,1,180,12,1963,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1963.0
82,2,1,552,9,3046,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3046.0
83,1,1,505,3,2499,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2499.0
84,3,2,1036,0,4891,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4891.0
85,3,2,1075,21,4690,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4680.62
86,3,2,1227,12,5497,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5497.0
87,2,1,690,3,3216,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3216.0
88,3,2,915,1,5240,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5240.0
89,0,1,147,47,1084,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1025.464
90,1,1,548,1,2076,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2076.0
91,1,1,421,8,2333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2333.0
92,1,1,384,11,1760,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1760.0
93,2,1,565,2,3137,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3137.0
94,0,1,351,11,1657,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1657.0
95,0,1,255,26,1382,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1365.4160000000002
96,1,1,461,8,1857,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1857.0
97,0,1,167,13,1447,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1447.0
98,1,1,580,4,2571,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2571.0
99,0,1,245,9,2039,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2039.0
100,3,2,1165,0,5525,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5525.0
101,0,1,347,36,1365,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1321.32
102,0,1,144,11,1468,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1468.0
103,3,2,1040,11,4785,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4785.0
104,1,1,745,0,2253,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2253.0
105,0,1,439,4,1793,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1793.0
106,1,1,692,0,2147,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2147.0
107,3,2,1171,13,4918,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4918.0
108,0,1,240,45,1152,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1094.4
109,2,1,715,50,2783,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2616.02
110,3,2,969,56,4236,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3931.008
111,0,1,467,1,1869,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1869.0
112,1,1,458,6,1862,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1862.0
113,1,1,445,64,1296,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1181.952
114,3,2,1125,8,4895,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4895.0
115,2,1,551,8,3079,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3079.0
116,2,1,731,29,3058,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3002.9559999999997
117,0,1,201,5,1594,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1594.0
118,0,1,400,3,1732,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1732.0
119,1,1,718,45,1806,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1715.7
120,0,1,447,29,1520,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1492.64
121,3,2,1055,0,4930,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4930.0
122,1,1,480,4,1956,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1956.0
123,3,2,1038,1,5356,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5356.0
124,1,1,729,63,1554,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1420.356
125,1,1,354,7,1811,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1811.0
126,0,1,214,34,1305,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1268.46
127,1,1,339,51,1294,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1213.772
128,1,1,559,12,1890,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1890.0
129,3,2,1022,60,4300,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3956.0
130,0,1,478,1,2414,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2414.0
131,2,1,607,52,2714,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2540.304
132,0,1,503,7,2313,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2313.0
133,2,1,938,10,3427,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3427.0
134,1,1,431,19,1787,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1787.0
135,3,2,1212,16,4906,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4906.0
136,3,2,1062,14,4744,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4744.0
137,0,1,163,51,1003,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,940.814
138,2,1,797,9,3296,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3296.0
139,0,1,150,3,2041,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2041.0
140,3,2,1206,2,5015,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5015.0
141,0,1,464,12,2259,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2259.0
142,1,1,658,33,1807,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1760.0179999999998
143,1,1,418,6,2321,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2321.0
144,2,1,856,9,3377,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3377.0
145,2,1,669,25,2970,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2940.3
146,3,2,984,6,5312,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5312.0
147,3,2,931,31,4433,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4335.474
148,2,1,732,13,3152,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3152.0
149,2,1,922,29,3251,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3192.482
150,3,2,1075,13,4841,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4841.0
151,1,1,536,41,1627,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1558.6660000000002
152,0,1,532,2,2409,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2409.0
153,1,1,465,19,1822,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1822.0
154,1,1,411,8,1810,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1810.0
155,0,1,267,7,1580,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1580.0
156,1,1,526,5,1933,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1933.0
157,2,1,652,22,3017,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3004.9320000000002
158,1,1,477,4,1900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1900.0
159,3,2,1062,12,5306,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5306.0
160,3,2,1161,9,4906,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4906.0
161,2,1,765,14,3693,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3693.0
162,2,1,634,12,3135,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3135.0
163,2,1,876,15,3347,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3347.0
164,1,1,704,14,2081,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2081.0
165,0,1,357,30,1420,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1391.6
166,3,2,1036,4,4820,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4820.0
167,0,1,524,13,2317,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2317.0
168,2,1,841,38,3096,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2984.5440000000003
169,1,1,728,1,2254,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2254.0
170,1,1,586,48,1577,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1488.6879999999999
171,1,1,426,14,1788,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1788.0
172,3,2,905,1,4709,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4709.0
173,0,1,376,1,1766,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1766.0
174,2,1,949,0,3513,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3513.0
175,3,2,1020,8,5302,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5302.0
176,0,1,295,17,1566,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1566.0
177,0,1,119,25,1264,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1251.36
178,3,2,937,2,4736,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4736.0
179,2,1,699,8,3249,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3249.0
180,1,1,670,42,1761,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1683.516
181,2,1,909,63,2898,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2648.772
182,2,1,548,17,3012,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3012.0
183,1,1,467,2,1985,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1985.0
184,2,1,893,59,2858,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2635.0759999999996
185,0,1,153,17,1424,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1424.0
186,1,1,668,4,2619,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2619.0
187,0,1,388,3,1746,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1746.0
188,1,1,539,4,1976,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1976.0
189,3,2,999,32,4567,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4457.392
190,0,1,320,36,1311,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1269.048
191,3,2,885,8,5184,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5184.0
192,1,1,483,59,1430,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1318.46
193,2,1,911,6,3492,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3492.0
194,2,1,655,32,2921,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2850.8959999999997
195,0,1,428,30,1539,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1508.22
196,0,1,464,11,1793,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1793.0
197,2,1,745,12,3178,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3178.0
198,3,2,1192,24,4759,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4720.928
199,0,1,398,60,1166,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1072.72
200,3,2,1006,48,4345,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4101.68
201,3,2,1233,36,4710,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4559.28
202,1,1,700,11,2079,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2079.0
203,1,1,576,12,1992,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1992.0
204,3,2,904,14,4576,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4576.0
205,0,1,123,1,1485,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1485.0
206,2,1,656,4,3234,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3234.0
207,0,1,170,5,1563,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1563.0
208,3,2,807,7,4608,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4608.0
209,1,1,737,35,1901,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1843.97
210,0,1,383,11,1707,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1707.0
211,0,1,320,36,1322,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1279.6960000000001
212,1,1,414,6,2379,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2379.0
213,0,1,143,7,1510,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1510.0
214,1,1,384,49,1354,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1275.468
215,3,2,1028,14,5204,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5204.0
216,2,1,849,2,3399,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3399.0
217,0,1,227,9,1487,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1487.0
218,0,1,449,45,1435,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1363.25
219,3,2,1081,34,4581,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4452.732
220,3,2,1086,7,4880,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4880.0
221,2,1,810,7,3875,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3875.0
222,2,1,757,5,3312,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3312.0
223,1,1,665,6,2638,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2638.0
224,1,1,433,51,1430,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1341.34
225,2,1,672,8,3699,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3699.0
226,2,1,900,24,3258,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3231.9359999999997
227,1,1,617,0,2067,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2067.0
228,1,1,387,11,1813,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1813.0
229,3,2,1112,5,4913,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4913.0
230,1,1,592,33,1739,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1693.786
231,1,1,504,13,2416,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2416.0
232,2,1,780,60,2822,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2596.24
233,3,2,1058,12,4808,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4808.0
234,0,1,486,4,1855,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1855.0
235,1,1,493,4,1960,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1960.0
236,0,1,191,23,1375,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1366.75
237,2,1,727,54,2809,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2617.988
238,1,1,315,50,1302,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1223.88
239,3,2,989,0,4856,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4856.0
240,1,1,629,6,2080,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2080.0
241,2,1,546,57,2606,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2413.156
242,1,1,597,8,2061,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2061.0
243,1,1,727,11,2078,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2078.0
244,1,1,536,2,1978,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1978.0
245,2,1,543,2,3129,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3129.0
246,1,1,609,15,1929,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1929.0
247,2,1,531,10,3053,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3053.0
248,3,2,933,2,4792,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4792.0
249,3,2,813,11,4568,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4568.0
250,2,1,736,8,3773,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3773.0
251,3,2,1169,61,4381,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4021.758
252,0,1,361,27,1540,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1518.44
253,2,1,921,14,3383,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3383.0
254,0,1,275,18,1456,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1456.0
255,1,1,339,15,1698,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1698.0
256,0,1,286,35,1344,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1303.68
257,0,1,293,35,1379,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1337.63
258,1,1,692,8,2590,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2590.0
259,2,1,835,5,3383,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3383.0
260,0,1,454,47,1353,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1279.938
261,0,1,495,13,2226,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2226.0
262,3,2,1012,9,5268,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5268.0
263,0,1,534,56,1386,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1286.208
264,3,2,1185,41,4578,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4385.724
265,1,1,619,20,1872,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1872.0
266,1,1,372,12,1775,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1775.0
267,1,1,676,34,1848,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1796.256
268,1,1,328,35,1512,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1466.64
269,2,1,554,13,2996,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2996.0
270,2,1,758,9,3265,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3265.0
271,3,2,922,7,4670,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4670.0
272,2,1,624,6,3195,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3195.0
273,1,1,355,22,1619,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1612.524
274,2,1,846,6,3405,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3405.0
275,0,1,316,12,2103,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2103.0
276,1,1,497,4,1940,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1940.0
277,3,2,857,53,4161,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3886.3740000000003
278,3,2,1033,2,4852,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4852.0
279,3,2,1020,5,5319,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5319.0
